toy_id,name,category,age_range,status,manufacturer,description,photo_url,photo_file
98,Jolly jumper 2,Baby: Toys for 0-2,6-12mths,On loan (overdue),,,/photos/142969.jpg,142969.jpg
984,fold up Slide,Big: Big\outdoor\ride on,,In library,,Storage location: Big toys and ride-ons,/photos/142192.jpg,142192.jpg
985,Magnetic Fishing Game,Puzzles and games: For under 5s,2-5 years,In library,,Storage location: Toddlers,,
986,Memory Game,Puzzles and games: For under 5s,3 years +,In library,Milton Bradley,Storage location: Games,,
987,Aqualand,Preschool: 2+ yr olds,18 mths +,In library,,Storage location: Toddlers,/photos/142195.jpg,142195.jpg
988,Wooden Trolley,Baby: Toys for 0-2,12-36mths,In library,,"Storage location: Big toys and ride-ons, comes with Blue rectangle plastic container with various blocks #16",/photos/142196.JPG,142196.JPG
989,Wooden MailBox,Preschool: 2+ yr olds,,In library,,"Storage location: Toddlers, ""1 x Red Mail Box, 1 x Happy Birthday Card,1 x Happy New Year Card,1 x Birthday Cake,1 x Present,1 x Yellow Triangle,1 x Blue Block,1 x Square Natural Block,1 x Halloween Pumpkin Card""",/photos/142197.jpg,142197.jpg
99,Springin Safari bounce around,Big: Big\outdoor\ride on,6-12mths,In library,,,/photos/142970.jpg,142970.jpg
999,Twister Hopscotch,"Over 5: Harder puzzles, games, small pieces, Lego",5 years +,In library,,Storage location: Games,,
J108,Months and Seasons,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden Frame",/photos/142628.jpg,142628.jpg
J114,Funny Frogs,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden sequential",/photos/142634.jpg,142634.jpg
J1151,Barbie  Spring Thing Puzzle,"Over 5: Harder puzzles, games, small pieces, Lego",3 years +,In library,,"Storage location: Jigsaws, 108 Piece Barbie Puzzle",/photos/142808.jpg,142808.jpg
J116,Spider textured,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Raised spider",/photos/142636.jpg,142636.jpg
J1189,Lacing Puzzle,Puzzles and games: For under 5s,3 years +,In library,Fun Factory,"Storage location: Games, 3 shoes and laces",,
J12,Maori Numbers 1-5,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden frame",/photos/142555.jpg,142555.jpg
J126,Tactile Match Ups,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Plastic board with plastic pieces with different textures",/photos/142643.jpg,142643.jpg
J130,Composed Matching Board,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Matching board 18 pieces on board, wooden",/photos/142647.jpg,142647.jpg
J131,Girl Getting Dressed #1,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden sequential",/photos/142648.jpg,142648.jpg
J132,Girl Getting Dressed #2,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden sequential",,
J135,Inside Story Market Stall,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden",/photos/142652.jpg,142652.jpg
J136,Flight Puzzle,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden raised",/photos/142653.jpg,142653.jpg
J142,Life Cycle of a Frog,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Raised pices showing pictures und each piece",/photos/142659.jpg,142659.jpg
J144,Papu Hau Fraction Board,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Wooden puzzle teaching fractions",/photos/142661.jpg,142661.jpg
J146,World Map Jigsaw,Puzzles and games: For under 5s,,In library,Unknown,"Storage location: Jigsaws, Boxed cardboard floor puzzle",/photos/142662.jpg,142662.jpg
J147,Dinosaur Discovery,Puzzles and games: For under 5s,3 years +,In library,Unknown,"Storage location: Jigsaws, Boxed cardboard puzzle",/photos/142663.jpg,142663.jpg
J157,Ocean floor puzzle,Puzzles and games: For under 5s,,In library,,"Storage location: Jigsaws, cross section of the ocean, very large pieces 42, with 7 fish shapes as well.",/photos/142673.jpg,142673.jpg
J159,My Ships Floor Puzzle,Puzzles and games: For under 5s,,In library,,"Storage location: Jigsaws, 64 piece floor puzzle showing a variety of ships/boats",/photos/142675.jpg,142675.jpg
J162,Dress up - Lion and Tiger Puzzle,Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,,
J163,1-2-3 puzzle,Puzzles and games: For under 5s,,In library,,"Storage location: Jigsaws, ""1 sun,2 clouds,3 stars""",/photos/142679.jpg,142679.jpg
J171,Backyard Bugs Floor Puzzle,Puzzles and games: For under 5s,,In library,Brighter Child,"Storage location: Jigsaws, 48 large heavy card puzzle, with identification sheet.",/photos/142687.jpg,142687.jpg
J179,Alphabet Road Puzzle,Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,/photos/142695.jpg,142695.jpg
J18,Dinosaur alphabet and number puzzle,Puzzles and games: For under 5s,3-5yrs,In library,Donated,,/photos/142910.jpg,142910.jpg
J180,Train Tray Puzzle,Puzzles and games: For under 5s,,In library,,"Storage location: Jigsaws, 6 pieces + board",/photos/142696.jpg,142696.jpg
J188,In the Countryside Floor Puzzle,Puzzles and games: For under 5s,,In library,,"Storage location: Jigsaws, Beatrix Potter, 24 pieces",/photos/142703.jpg,142703.jpg
J189,Silly Silly Sea 2-sided Floor Puzzle,Puzzles and games: For under 5s,,In library,,"Storage location: Jigsaws, 46 pieces",/photos/142704.jpg,142704.jpg
J191,Country/Town Mouse Puzzle (70 piece),Puzzles and games: For under 5s,,In library,Mudpuppy,Storage location: Jigsaws,/photos/142706.jpg,142706.jpg
J192,Tough Truck Floor Puzzle (50),Puzzles and games: For under 5s,,In library,C B Publishing,Storage location: Jigsaws,/photos/142707.jpg,142707.jpg
J193,Giant Digger (30),Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,/photos/142708.jpg,142708.jpg
J195,Gingerbread House (35),Puzzles and games: For under 5s,,In library,Orchard Toys,Storage location: Jigsaws,/photos/142710.jpg,142710.jpg
J196,Supermarket,"Over 5: Harder puzzles, games, small pieces, Lego",,In library,Orchard Toys,Storage location: Jigsaws,,
J198,Seashore (150),"Over 5: Harder puzzles, games, small pieces, Lego",,In library,,Storage location: Jigsaws,/photos/142713.jpg,142713.jpg
J199,Emergency Double-sided Puzzle (46),Puzzles and games: For under 5s,,In library,Puzzle Patch,Storage location: Jigsaws,/photos/142714.jpg,142714.jpg
J202,Machines (3x 3pce),Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,/photos/142717.jpg,142717.jpg
J205,Endangered species,Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,/photos/142720.jpg,142720.jpg
J207,Map of the Solar System (104),"Over 5: Harder puzzles, games, small pieces, Lego",,In library,,Storage location: Jigsaws,/photos/142722.jpg,142722.jpg
J212,World Atlas,Puzzles and games: For under 5s,,In library,,"Storage location: Jigsaws, wooden puzzle",/photos/142727.jpg,142727.jpg
J218,Shaped Pirate Puzzle,"Over 5: Harder puzzles, games, small pieces, Lego",,In library,,Storage location: Jigsaws,/photos/142733.jpg,142733.jpg
J219,Find the Rhyme (50),Puzzles and games: For under 5s,,In library,Orchard Toys,Storage location: Jigsaws,/photos/142734.jpg,142734.jpg
J22,Alligator Puzzle,Puzzles and games: For under 5s,,In library,Pinegrove Puzzles,"Storage location: Jigsaws, Wooden Puzzle of an alligator",,
J222,World of Flags (140),"Over 5: Harder puzzles, games, small pieces, Lego",,In library,,Storage location: Jigsaws,/photos/142737.jpg,142737.jpg
J227,Wooden New Zealand Map,Puzzles and games: For under 5s,3 years +,In library,Pinegrove Puzzles,Storage location: Jigsaws,/photos/142742.jpg,142742.jpg
J229,Geometric Shape Puzzle,Puzzles and games: For under 5s,18 mths +,In library,Unknown,"Storage location: Jigsaws, 15 pieces + board + bag",,
J233,train puzzle,Puzzles and games: For under 5s,3 years +,In library,Melissa and Doug,"Storage location: Jigsaws, Stand up puzzle",/photos/142748.jpg,142748.jpg
J234,Wooden Transportation Puzzle,Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,/photos/142749.jpg,142749.jpg
J236,Body Layers Girl,Puzzles and games: For under 5s,3 years +,In library,Beleduc,Storage location: Jigsaws,,
J237,Animal Worlds,Puzzles and games: For under 5s,3 years +,In library,Unknown,"Storage location: Jigsaws, Brand Learning Journey",,
J241,Wooden Shapes,Puzzles and games: For under 5s,2-5 years,In library,Unknown,Storage location: Jigsaws,/photos/142755.jpg,142755.jpg
J242,Wooden Number Puzzle,Puzzles and games: For under 5s,2-5 years,In library,Unknown,Storage location: Jigsaws,/photos/142756.jpg,142756.jpg
J244,Fishing Rod Puzzle,Puzzles and games: For under 5s,2-5 years,In library,,"Storage location: Jigsaws, ""Centre jigsaw with magnet fish around the outside and a fishing rodWooden""",,
J247,Giraffe 123 and ABC,Puzzles and games: For under 5s,2-5 years,In library,,Storage location: Jigsaws,/photos/142761.jpg,142761.jpg
J251,Number Puzzles,Puzzles and games: For under 5s,3 years +,In library,Unknown,Storage location: Jigsaws,,
J252,Big Wheels Puzzle,Puzzles and games: For under 5s,3 years +,In library,Orchard Toys,"Storage location: Jigsaws, 32 pieces",/photos/142766.jpg,142766.jpg
J254,Rory Puzzle,Puzzles and games: For under 5s,12-36mths,In library,,Storage location: Jigsaws,/photos/142768.jpg,142768.jpg
J256,Cube Transport puzzle,Puzzles and games: For under 5s,4 years +,In library,Ravensburger,"Storage location: Jigsaws, 6 puzzles in one on 12 cubes",/photos/142770.jpg,142770.jpg
J257,Pirate Puzzle,Puzzles and games: For under 5s,3 years +,In library,,Storage location: Jigsaws,,
J259,Noahs Ark Puzzle 2,Puzzles and games: For under 5s,,In library,,Storage location: Jigsaws,/photos/142773.jpg,142773.jpg
J261,sea life Puzzle,Puzzles and games: For under 5s,12-36mths,In library,Donated,"Storage location: Jigsaws, 4 sea creture shapes with wooden knobs",/photos/142775.jpg,142775.jpg
